p s t mem
0.1 0 0.02273 9324.72727
0.1 100 0.07000 9685.45455
0.1 200 0.31273 10018.18182
0.1 300 1.03182 10537.45455
0.1 400 2.41818 11369.81818
0.1 500 4.43727 12285.09091
0.5 0 0.02273 9356.00000
0.5 100 0.17909 9871.63636
0.5 200 1.42636 11354.90909
0.5 300 4.91455 14047.63636
0.5 400 12.54909 17669.45455
0.5 500 21.92909 22561.09091
1 0 0.02273 9383.27273
1 100 0.37000 10233.81818
1 200 3.21455 13066.18182
1 300 10.41364 18571.63636
1 400 24.95182 26132.36364
1 500 47.17000 35317.45455
